file,label,avg_speed,total_dist,direction_changes,click_gap_mean,click_gap_std,duration_sec
session_20260522_064222.json,bot,0.0,0.0,0,0.0,0.0,0.0
session_20260526_034815.json,bot,0.0,0.0,0,0.0,0.0,0.0
session_20260526_034904.json,bot,0.0,0.0,0,0.0,0.0,11.169
session_20260526_035018.json,bot,91.9662,174.0,0,0.948,0.009,14.206
session_20260526_035103.json,bot,91.6272,174.0,0,0.946,0.029,14.437
session_20260526_035149.json,bot,228.5318,575.21,1,0.8503,0.1462,15.084
session_20260526_035233.json,bot,157.1932,982.61,3,1.3802,0.6659,8.549
session_20260526_033544.json,human,109.9659,3135.9,10,3.2228,2.2641,28.517
session_20260526_124514.json,human,137.5357,4825.16,7,6.6643,4.6527,35.083
session_20260526_124900.json,human,183.435,4915.87,9,4.7215,3.068,26.799
session_20260526_133354.json,human,200.2205,7101.02,20,6.6726,4.2397,35.466
session_20260526_133444.json,human,214.4971,8890.04,16,7.9546,4.7747,41.446
session_20260526_133555.json,human,94.8872,3064.48,7,7.8313,6.9703,32.296
session_20260526_133749.json,human,91.8503,1688.48,5,4.463,4.2959,18.383
session_20260526_133855.json,human,128.6566,3769.51,10,4.1042,2.7663,29.299
session_20260526_134005.json,human,559.3001,12146.32,10,7.006,3.4587,21.717
session_20260526_134057.json,human,32.8983,1228.75,2,7.4837,7.7942,37.35
session_20260526_134140.json,human,137.3043,4977.42,13,5.8888,4.9974,36.251
session_20260526_135206.json,human,111.272,2422.06,4,5.2287,3.0841,21.767
session_20260526_135433.json,human,210.6656,5600.33,14,4.0672,3.4986,26.584
session_20260526_135531.json,human,139.4824,4119.47,9,5.8368,3.0911,29.672
session_20260526_135617.json,human,295.9907,8582.84,10,5.4008,3.4187,28.997
session_20260526_135702.json,human,195.5302,3245.8,9,3.9522,2.0121,16.6
session_20260526_135810.json,human,197.8753,5273.18,10,5.0958,2.2797,26.649
session_20260526_140042.json,human,254.2192,3919.04,8,3.6948,2.3467,15.416
session_20260526_140114.json,human,100.7683,2425.09,7,2.3286,2.576,24.066
session_20260526_140223.json,human,66.3457,1942.73,4,7.0783,4.9879,29.282
session_20260526_140322.json,human,72.9009,3745.79,4,10.3092,12.7244,51.382
session_20260526_140409.json,human,178.4213,3770.4,1,7.8166,6.4956,39.311
session_20260526_140447.json,human,167.6416,4796.9,11,4.4572,3.1296,28.614
session_20260526_140601.json,human,319.0666,9930.63,15,5.0917,3.9755,31.124
session_20260526_140636.json,human,116.3074,2995.03,5,4.8904,3.1765,25.751
session_20260526_140714.json,human,195.8429,3906.87,7,3.8486,2.8658,19.949
session_20260526_140814.json,human,311.3663,9377.42,10,4.2008,2.9716,30.117
session_20260526_140851.json,human,129.4902,3552.31,7,6.594,4.7016,27.433
session_20260526_140944.json,human,167.4135,4015.08,8,4.7798,3.8732,24.063
session_20260526_141021.json,human,191.1352,4176.3,9,7.128,5.4956,21.85
session_20260526_142200.json,human,142.5225,3717.56,14,4.7585,3.0657,26.084
session_20260528_115206.json,human,276.469,14565.49,28,2.3942,2.4736,52.684
session_20260528_120220.json,human,55.6909,3341.46,12,5.3789,4.9454,60.0
session_20260528_122745.json,human,87.9607,5273.16,14,4.392,3.7948,59.973
